"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"290",3.98,16,3.98,0.0010763545745498,TRUE,1.87618999274831,0.965291787644605,0.72,1.22034328507364,0.306618915847649,-1.22034328507364,-3.98,FALSE
"291",3.2,17,3.2,0.00524755671877064,TRUE,1.4682606967716,0.754247233265651,0.72,0.954171003047315,0.298178438452286,-0.954171003047315,-3.2,FALSE
"292",2.4,17,2.4,0.0281264868297446,TRUE,1.1011955225787,0.565685424949238,0.72,0.715628252285486,0.298178438452286,-0.715628252285486,-2.4,FALSE
"293",3.4,17,3.4,0.00340777891846367,TRUE,1.56002699031982,0.801387685344754,0.72,1.01380669073777,0.298178438452286,-1.01380669073777,-3.4,FALSE
"295",5.89,21,5.89,7.58750217455528e-06,TRUE,2.45629979759234,1.25575221933455,0.72,1.59190554124673,0.270272587648001,1.59190554124673,5.89,FALSE
"296",4.07,21,4.07,0.000549626228962374,TRUE,1.69730733042459,0.867726915567335,0.72,1.10000943172737,0.270272587648001,-1.10000943172737,-4.07,FALSE
"299",2.98,97,2.98,0.00364290793807576,TRUE,0.59900253789449,0.301025458276559,0.72,0.38445904056958,0.129013100862275,-0.38445904056958,-2.98,FALSE
"300",3.76,97,3.76,0.00029051893702281,TRUE,0.755788437074927,0.379817356751631,0.72,0.485089259242154,0.129013100862275,-0.485089259242154,-3.76,FALSE
"301",2.34,97,2.34,0.0213331027529478,TRUE,0.470357697541311,0.236375695425217,0.72,0.301890656017724,0.129013100862275,0.301890656017724,2.34,FALSE
"302",2.71,97,2.71,0.00795673307396161,TRUE,0.544730495870493,0.273751339573649,0.72,0.349625503336765,0.129013100862275,0.349625503336765,2.71,FALSE
"303",2.12,97,2.12,0.0365580115577075,TRUE,0.426136033669906,0.214152339445069,0.72,0.273507773828023,0.129013100862275,0.273507773828023,2.12,FALSE
"304",3.39,54,3.39,0.00131269850299276,TRUE,0.906015610083119,0.457107506750078,0.72,0.582801775683329,0.171917927930186,0.582801775683329,3.39,FALSE
"305",2.67,54,2.67,0.00999960102072128,TRUE,0.713587515906173,0.360022726555371,0.72,0.459020867573596,0.171917927930186,0.459020867573596,2.67,FALSE
"306",3.05,97,3.05,0.00295066230292451,TRUE,0.613073067308119,0.308096526088424,0.72,0.393489957629939,0.129013100862275,-0.393489957629939,-3.05,FALSE
"307",2.05,97,2.05,0.04306281960787,TRUE,0.412065504256277,0.207081271633203,0.72,0.264476856767664,0.129013100862275,0.264476856767664,2.05,FALSE
"308",2.8,97,2.8,0.00616730665952048,TRUE,0.562821176545159,0.282842712474619,0.72,0.36123668241437,0.129013100862275,-0.36123668241437,-2.8,FALSE
"309",2.01,97,2.01,0.0472083168080399,TRUE,0.404025201734203,0.203040661454994,0.72,0.259316332733173,0.129013100862275,-0.259316332733173,-2.01,FALSE
"310",4.44,54,4.44,4.48525012077816e-05,TRUE,1.18663991409116,0.598689477867359,0.72,0.763315600010025,0.171917927930186,0.763315600010025,4.44,FALSE
"311",3.41,54,3.41,0.00123609089247179,TRUE,0.911360834921367,0.459804306199931,0.72,0.586240134241933,0.171917927930186,0.586240134241933,3.41,FALSE
"313",2.37,99,2.37,0.0197264181674122,TRUE,0.471647628159535,0.237,0.72,0.30270133588467,0.127722082651759,-0.30270133588467,-2.37,FALSE
"314",3.04,99,3.04,0.00302692428832518,TRUE,0.604982611647673,0.304,0.72,0.388275131261349,0.127722082651759,0.388275131261349,3.04,FALSE
"315",2.42,38,2.42,0.0204112254433975,TRUE,0.765271193760748,0.387510132208311,0.72,0.493283229442993,0.203836045224377,0.493283229442993,2.42,FALSE
"316",2.66,36,2.66,0.0115934021706448,TRUE,0.863017960415657,0.43730130623225,0.72,0.556501969403604,0.209211266693084,0.556501969403604,2.66,FALSE
"317",1.9,36,1.9,0.0654661166023556,FALSE,0.616441400296898,0.312358075880179,0.72,0.39750140671686,0.209211266693084,-0.39750140671686,-1.9,FALSE
"318",3.67,18,3.67,0.00175186963593621,TRUE,1.64127389548485,0.841955743304962,0.72,1.06576482591533,0.290399135126793,1.06576482591533,3.67,FALSE
"319",2.18,24,2.18,0.0392965328628569,TRUE,0.855066349202482,0.436,0.72,0.553338577776695,0.253825035677383,-0.553338577776695,-2.18,FALSE
"320",1.76,23,1.76,0.0917030234846357,FALSE,0.704,0.3592584956082,0.72,0.455786116837904,0.258969384566991,-0.455786116837904,-1.76,FALSE
"321",2.16,26,2.16,0.040172396227856,TRUE,0.816403261699931,0.415692193816531,0.72,0.527891292823883,0.244394117048094,0.527891292823883,2.16,FALSE
"322",2.34,25,2.34,0.0275680383455419,TRUE,0.900666419935816,0.458911756223351,0.72,0.582603062062841,0.248975667548223,-0.582603062062841,-2.34,FALSE
"323",2.15,22,2.15,0.0428077730300238,TRUE,0.877733824497306,0.448305990222711,0.72,0.568545783819597,0.264439899450976,-0.568545783819597,-2.15,FALSE
"324",2.08,22,2.08,0.0493833669003449,TRUE,0.849156444164835,0.433709981238716,0.72,0.550034990858029,0.264439899450976,0.550034990858029,2.08,FALSE
"325",5.12,19,5.12,6.08529506718192e-05,TRUE,2.23455119601656,1.14486680447989,0.72,1.44997843411016,0.283198912912141,-1.44997843411016,-5.12,FALSE
"326",4.71,16,4.71,0.000235965949962891,TRUE,2.22031529292576,1.14234279392113,0.72,1.44417509364242,0.306618915847649,1.44417509364242,4.71,FALSE
"328",2.85,19,2.85,0.0102422631011114,TRUE,1.24384197434516,0.63727937358744,0.72,0.807116901799601,0.283198912912141,-0.807116901799601,-2.85,FALSE
"329",2.39,19,2.39,0.0273680118103521,TRUE,1.04308151532804,0.53442024662245,0.72,0.676845401860016,0.283198912912141,-0.676845401860016,-2.39,FALSE
"330",0.8,12,0.8,0.439261231618799,FALSE,0.427617987059879,0.221880078490092,0.72,0.279486692889632,0.34935836611204,-0.279486692889632,-0.8,FALSE
